asin,title,price,rating,review_count,image,link
B09DT48V16,,$24.68,4.4,,./earbuds_files/61uEvVoizoL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjYyMTY1MDUyMjIyOTc3OjE3NjU5NzgwMzQ6c3BfYXRmOjMwMDE3MDIzMzkxODYwMjo6MDo6&url=%2FTAGRY-Bluetooth-Headphones-Earphones-Waterproof%2Fdp%2FB09DT48V16%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1C2OTTQO2UQES%26dib%3DeyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A%26dib_tag%3Dse%26keywords%3Dearbuds%26qid%3D1765978034%26sprefix%3Dearbud%252Caps%252C897%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0FH911KS1,,$19.83,4.5,,./earbuds_files/71U5p3Pxk+L._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjYyMTY1MDUyMjIyOTc3OjE3NjU5NzgwMzQ6c3BfYXRmOjMwMTAzNzI4NTkwMTAwMjo6MDo6&url=%2FBluetooth-Headphones-Cancelling-Waterproof-Earphones%2Fdp%2FB0FH911KS1%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1C2OTTQO2UQES%26dib%3DeyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A%26dib_tag%3Dse%26keywords%3Dearbuds%26qid%3D1765978034%26sprefix%3Dearbud%252Caps%252C897%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B0DN45YMP6,,$39.95,4.2,,./earbuds_files/618f5yBk26L._AC_UY218_.jpg,https://www.amazon.com/JBL-Vibe-Beam-Cancelling-Technology/dp/B0DN45YMP6/ref=sr_1_3?crid=1C2OTTQO2UQES&dib=eyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A&dib_tag=se&keywords=earbuds&qid=1765978034&sprefix=earbud%2Caps%2C897&sr=8-3
B0CRTYZG5C,,$24.99,4.4,,./earbuds_files/51HbL1WS+KL._AC_UY218_.jpg,https://www.amazon.com/Soundcore-Cancelling-Powerful-Playtime-Bluetooth/dp/B0CRTYZG5C/ref=sr_1_4?crid=1C2OTTQO2UQES&dib=eyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A&dib_tag=se&keywords=earbuds&qid=1765978034&sprefix=earbud%2Caps%2C897&sr=8-4
B0FXMMR6D5,,$159.99,,,./earbuds_files/61itv0Eii4L._AC_UY218_.jpg,https://www.amazon.com/JGUG-Cancelling-Headphones-Multifuntional-Touchscreen/dp/B0FXMMR6D5/ref=sr_1_5?crid=1C2OTTQO2UQES&dib=eyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A&dib_tag=se&keywords=earbuds&qid=1765978034&sprefix=earbud%2Caps%2C897&sr=8-5
B0D9YZJ3V7,,$159.99,4.2,,./earbuds_files/61zW8yc4hTL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjYyMTY1MDUyMjIyOTc3OjE3NjU5NzgwMzQ6c3BfbXRmOjMwMDQwMTkyMTEwNTgwMjo6MDo6&url=%2FSAMSUNG-Cancelling-Optimization-Interpreter-Redesigned%2Fdp%2FB0D9YZJ3V7%2Fref%3Dsr_1_6_sspa%3Fcrid%3D1C2OTTQO2UQES%26dib%3DeyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A%26dib_tag%3Dse%26keywords%3Dearbuds%26qid%3D1765978034%26sprefix%3Dearbud%252Caps%252C897%26sr%3D8-6-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B0FR4Q1GVH,,$34.99,4.8,,./earbuds_files/715Y2eeg1mL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjYyMTY1MDUyMjIyOTc3OjE3NjU5NzgwMzQ6c3BfbXRmOjMwMTA5OTg3NjM0NDIwMjo6MDo6&url=%2FBluetooth-Multifunctional-Headphones-Cancelling-Transparency%2Fdp%2FB0FR4Q1GVH%2Fref%3Dsr_1_7_sspa%3Fcrid%3D1C2OTTQO2UQES%26dib%3DeyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A%26dib_tag%3Dse%26keywords%3Dearbuds%26qid%3D1765978034%26sprefix%3Dearbud%252Caps%252C897%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
B09FT58QQP,,$13.99,4.3,,./earbuds_files/71W3sbCbttL._AC_UY218_.jpg,https://www.amazon.com/A1/dp/B09FT58QQP/ref=sr_1_8?crid=1C2OTTQO2UQES&dib=eyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A&dib_tag=se&keywords=earbuds&qid=1765978034&sprefix=earbud%2Caps%2C897&sr=8-8
B0CRTR3PMF,,$24.99,4.4,,./earbuds_files/51013C6va8L._AC_UY218_.jpg,https://www.amazon.com/Soundcore-Cancelling-Powerful-Playtime-Bluetooth/dp/B0CRTR3PMF/ref=sr_1_9?crid=1C2OTTQO2UQES&dib=eyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A&dib_tag=se&keywords=earbuds&qid=1765978034&sprefix=earbud%2Caps%2C897&sr=8-9
B0D7FVQ1ZB,,$15.96,4.6,,./earbuds_files/317eB4+yU6L._AC_UY218_.jpg,https://www.amazon.com/Apple-EarPods-Headphones-Lightning-Connector/dp/B0D7FVQ1ZB/ref=sr_1_10?crid=1C2OTTQO2UQES&dib=eyJ2IjoiMSJ9.bb1lF-5dL37RyszA5w6mlzo6QgkPDdPeN1sKH5mw8__NCYfCMoqQ9OE8hpI_-2NvrXgj0_paHuIXMnmJpnix6bXb36zRSn8q0ZbjHzvHHliKjQh5kjz43NGDBEVuRm8QeUJd3IQmjeuMg0gwxzT-qWh6M5ECXW7uTptRvfeIvykx11sj7zeeVrv7yZbzEv5IQSjKbWq7utKw_cD0MndNrOvfxKk9PB7v9dcpvZYcGXE.4X2-Es4ijJD4AVh7-sxUuUbwPAcvcN_HuOUwQR4ko-A&dib_tag=se&keywords=earbuds&qid=1765978034&sprefix=earbud%2Caps%2C897&sr=8-10
